op,star,end,delta
1,1.424000,1.428000,0.004000
2,1.623000,1.626000,0.003000
3,1.642000,1.645000,0.003000
4,1.659000,1.662000,0.003000
5,1.688000,1.691000,0.003000
6,1.709000,1.712000,0.003000
7,1.728000,1.731000,0.003000
8,1.749000,1.752000,0.003000
9,1.771000,1.774000,0.003000
10,1.795000,1.798000,0.003000
11,1.821000,1.824000,0.003000
12,1.846000,1.850000,0.004000
13,1.870000,1.874000,0.004000
14,1.895000,1.900000,0.005000
15,1.924000,1.929000,0.005000
16,1.953000,1.958000,0.005000
17,1.982000,1.988000,0.006000
18,2.016000,2.022000,0.006000
19,2.056000,2.062000,0.006000
20,2.092000,2.099000,0.007000
21,2.131000,2.138000,0.007000
22,2.171000,2.179000,0.008000
23,2.211000,2.219000,0.008000
24,2.255000,2.264000,0.009000
25,2.301000,2.310000,0.009000
26,2.347000,2.357000,0.010000
27,2.398000,2.408000,0.010000
28,2.452000,2.463000,0.011000
29,2.508000,2.519000,0.011000
30,2.571000,2.583000,0.012000
31,2.631000,2.644000,0.013000
32,2.695000,2.709000,0.014000
33,2.763000,2.778000,0.015000
34,2.834000,2.849000,0.015000
35,2.907000,2.923000,0.016000
36,2.984000,3.001000,0.017000
37,3.069000,3.087000,0.018000
38,3.153000,3.172000,0.019000
39,3.239000,3.259000,0.020000
40,3.329000,3.350000,0.021000
41,3.423000,3.444000,0.021000
42,3.520000,3.542000,0.022000
43,3.640000,3.663000,0.023000
44,3.751000,3.773000,0.022000
45,3.858000,3.882000,0.024000
46,3.969000,3.994000,0.025000
47,4.085000,4.110000,0.025000
48,4.205000,4.231000,0.026000
49,4.333000,4.361000,0.028000
50,4.461000,4.490000,0.029000
51,4.593000,4.622000,0.029000
52,4.730000,4.760000,0.030000
53,4.871000,4.903000,0.032000
54,5.023000,5.056000,0.033000
55,5.174000,5.208000,0.034000
56,5.329000,5.365000,0.036000
57,5.489000,5.526000,0.037000
58,5.654000,5.694000,0.040000
59,5.831000,5.873000,0.042000
60,5.943000,5.955000,0.012000
61,6.027000,6.039000,0.012000
62,6.097000,6.110000,0.013000
63,6.153000,6.166000,0.013000
64,6.209000,6.223000,0.014000
65,6.267000,6.281000,0.014000
66,6.326000,6.340000,0.014000
67,6.389000,6.404000,0.015000
68,6.452000,6.467000,0.015000
69,6.516000,6.531000,0.015000
70,6.582000,6.597000,0.015000
71,6.650000,6.667000,0.017000
72,6.720000,6.737000,0.017000
73,6.791000,6.808000,0.017000
74,6.865000,6.883000,0.018000
75,6.940000,6.958000,0.018000
76,7.016000,7.035000,0.019000
77,7.094000,7.113000,0.019000
78,7.176000,7.195000,0.019000
